cep_origem;latitude_origem;longitude_origem;cep_destino;latitude_destino;longitude_destino
02117-000;-23.5218456;-46.591044399999994;01308-000;-23.556434699999997;-46.6530153
02464-000;-23.4960923;-46.6433531;02526-000;-23.502585800000002;-46.64624980000001
03215-000;-23.6082789;-46.5576499;04195-000;-23.6569719;-46.61322879999999
05027-000;-23.5337238;-46.6929631;04547-000;-23.6015892;-46.67552979999999
04960-000;-23.723451;-46.78986219999999;02764-000;-23.4800338;-46.6767349
03363-000;-23.561753699999997;-46.5396788;04531-000;-23.5810457;-46.675657799999996
04917-000;-23.6891723;-46.74905829999999;02961-000;-23.4939836;-46.7001172
05581-000;-23.5661992;-46.71763379999999;04171-000;-23.635403699999998;-46.61331029999999
03424-000;-23.550636100000002;-46.540859000000005;02241-000;-23.4900099;-46.6067725
02189-000;-23.508013300000002;-46.5689954;02925-000;-23.5008851;-46.69974939999999
04785-000;-23.6923812;-46.7136195;01221-000;-23.545008600000003;-46.643566899999996
04823-000;-23.7185026;-46.6917771;03156-000;-23.5811754;-46.5698414
03257-000;-23.611393600000003;-46.528966100000005;04323-000;-23.6511064;-46.64052179999999
03360-000;-23.5697294;-46.545334000000004;03490-000;-23.5556375;-46.51686369999999
01320-000;-23.5582104;-46.6391761;04745-000;-23.6573889;-46.7061901
01238-000;-23.543557800000002;-46.6567873;03335-000;-23.554177199999998;-46.570581700000005
03654-000;-23.5250428;-46.5177318;03614-000;-23.5154352;-46.5313065
02842-000;-23.4764598;-46.68723079999999;05586-000;-23.573300500000002;-46.7273775
01225-000;-23.5415979;-46.6531815;05410-000;-23.557603;-46.67698739999999
02422-000;-23.4714684;-46.6371756;02408-000;-23.482116199999997;-46.6276997
05854-000;-23.661872;-46.7639005;03308-000;-23.5416277;-46.570936200000006
05140-000;-23.4907962;-46.7254881;01313-000;-23.554765600000003;-46.64856530000001
03089-000;-23.5371166;-46.558232200000006;08470-000;-23.5986339;-46.399671399999995
05409-000;-23.5586809;-46.6748032;04069-000;-23.6254052;-46.64534219999999
02854-000;-23.458472399999998;-46.697457299999996;03405-000;-23.53969;-46.55275289999999
05379-000;-23.5667101;-46.75392249999999;04515-000;-23.6016424;-46.6639981
03889-000;-23.5170405;-46.4762808;04546-000;-23.6004747;-46.6754009
04042-000;-23.6025765;-46.638046700000004;04107-000;-23.5811883;-46.634944299999994
04046-000;-23.6094836;-46.6380689;03470-000;-23.571233399999997;-46.5247773
01235-000;-23.5376505;-46.66484089999999;04142-000;-23.610857;-46.637623600000005
01309-000;-23.5569581;-46.65896770000001;05415-000;-23.5650402;-46.6809885
03937-000;-23.585983600000002;-46.50101189999999;05058-000;-23.5320338;-46.709708
04904-000;-23.6702544;-46.735504399999996;05002-000;-23.5290648;-46.6728167
03226-000;-23.5900652;-46.56974719999999;04044-000;-23.6014623;-46.6403652
04833-000;-23.7383177;-46.70028920000001;02342-000;-23.4739185;-46.6110809
08151-000;-23.5076249;-46.4044739;02034-000;-23.5033329;-46.62354439999999
04904-000;-23.6702544;-46.735504399999996;01403-000;-23.569487300000002;-46.6541838
03150-000;-23.581913;-46.59102439999999;01534-000;-23.5690497;-46.62695120000001
01022-000;-23.5448448;-46.6334325;01230-000;-23.53611;-46.6569622
05077-000;-23.5193722;-46.7212763;02465-000;-23.4963047;-46.6432273
02234-000;-23.479983100000002;-46.5698414;05019-000;-23.5333315;-46.6812918
04128-000;-23.6028727;-46.63165120000001;04571-000;-23.6069438;-46.6954541
03944-000;-23.6014749;-46.493300899999994;04090-000;-23.6047974;-46.657255600000006
04852-000;-23.758213;-46.662633500000005;01231-000;-23.5393767;-46.6572466
03215-000;-23.6082789;-46.5576499;08275-000;-23.568724300000003;-46.475454
08220-000;-23.5367422;-46.46762400000001;05036-000;-23.5163686;-46.6905783
04846-000;-23.7570314;-46.67657;04304-000;-23.6268109;-46.6346073
08280-000;-23.557155899999998;-46.466515799999996;03311-000;-23.547731699999996;-46.5635172
01309-000;-23.5569581;-46.65896770000001;01456-000;-23.5755225;-46.69281289999999
03244-000;-23.601001999999998;-46.5394541;08280-000;-23.557155899999998;-46.466515799999996
03936-000;-23.590162699999997;-46.496410100000006;03118-000;-23.5611123;-46.5961535
02188-000;-23.510525;-46.5655908;03227-000;-23.5892162;-46.5677875
05337-000;-23.5506872;-46.751465100000004;02415-000;-23.4734933;-46.6302071
08245-000;-23.5225461;-46.440506899999995;04202-000;-23.5798832;-46.6061602
08240-000;-23.526460999999998;-46.4455459;05850-000;-23.6585057;-46.7600597
03674-000;-23.5173699;-46.4978773;05122-000;-23.5059042;-46.734494399999996
03515-000;-23.5381596;-46.5279816;04607-000;-23.6233153;-46.67618820000001
03188-000;-23.5622355;-46.577310600000004;08061-000;-23.502056;-46.4638334
03181-000;-23.561388600000004;-46.5876735;05468-000;-23.5387546;-46.716845500000005
03647-000;-23.526272100000003;-46.52832120000001;03042-000;-23.549956899999998;-46.6176802
08253-000;-23.541372199999998;-46.43940689999999;04717-000;-23.635460000000002;-46.6984727
03874-000;-23.5118682;-46.495594700000005;05414-000;-23.5625918;-46.6814502
08151-000;-23.5076249;-46.4044739;05009-000;-23.5366504;-46.6746642
03560-000;-23.546207199999998;-46.500950599999996;04564-000;-23.612962300000003;-46.6856253
02435-000;-23.480772199999997;-46.6384544;03152-000;-23.5858581;-46.5843358
02521-000;-23.502504300000002;-46.663293200000005;04674-000;-23.665025600000003;-46.686229
04805-000;-23.7153858;-46.702532899999994;05025-000;-23.5364013;-46.689101799999996
03694-000;-23.539846100000002;-46.47656629999999;02318-000;-23.449708899999997;-46.587312299999994
02940-000;-23.4805994;-46.723198700000005;05468-000;-23.5387546;-46.716845500000005
08295-000;-23.547291199999997;-46.45012020000001;08020-000;-23.504361499999998;-46.44291
02618-000;-23.4672864;-46.65075760000001;03637-000;-23.5242763;-46.5444715
05131-000;-23.501592000000002;-46.7428037;01403-000;-23.569487300000002;-46.6541838
01332-000;-23.5598025;-46.6530639;05119-000;-23.4974503;-46.73553029999999
05777-000;-23.6467713;-46.7635879;03146-000;-23.604634899999997;-46.568427899999996
04128-000;-23.6028727;-46.63165120000001;05302-000;-23.529871399999998;-46.7277481
02017-000;-23.5000629;-46.6302681;04634-000;-23.636908;-46.6687234
03213-000;-23.605148899999996;-46.559909399999995;03210-000;-23.5964344;-46.5556688
03164-000;-23.549815399999996;-46.6115849;04006-000;-23.5777562;-46.6476041
02119-000;-23.517542300000002;-46.58912479999999;04231-000;-23.604473199999997;-46.597778000000005
05624-000;-23.5941859;-46.7277117;03964-000;-23.6058686;-46.4786795
05116-000;-23.5122465;-46.7472719;02244-000;-23.4907483;-46.6065098
04149-000;-23.617430399999996;-46.6175831;04044-000;-23.6014623;-46.6403652
04904-000;-23.6702544;-46.735504399999996;05092-000;-23.5152829;-46.71521729999999
02243-000;-23.4916515;-46.6035839;08460-000;-23.5459902;-46.4029025
03687-000;-23.529474800000003;-46.487628799999996;04707-000;-23.624508600000002;-46.6942734
03337-000;-23.556048899999997;-46.5626138;03116-000;-23.5665408;-46.58807849999999
04339-000;-23.666434;-46.64258;04822-000;-23.7316157;-46.688221
04311-000;-23.633986;-46.637952500000004;05858-000;-23.662602399999997;-46.7806766
04045-000;-23.609336300000002;-46.63780260000001;05350-000;-23.569893;-46.76019429999999
05727-000;-23.6195342;-46.73485609999999;04052-000;-23.6105788;-46.63866960000001
01512-000;-23.5539527;-46.6311295;04116-000;-23.59211;-46.6274492
04602-000;-23.624464899999996;-46.6834867;03644-000;-23.5264674;-46.5331396
03260-000;-23.6052566;-46.519270500000005;03360-000;-23.5697294;-46.545334000000004
03314-000;-23.5387326;-46.56683029999999;05409-000;-23.5586809;-46.6748032
01022-000;-23.5448448;-46.6334325;05754-000;-23.6181831;-46.7530499
03181-000;-23.561388600000004;-46.5876735;03622-000;-23.520390399999997;-46.5203227
04846-000;-23.7570314;-46.67657;05182-000;-23.4509866;-46.7459221
03312-000;-23.5437272;-46.5614093;04856-000;-23.764240100000002;-46.694036200000006
04167-000;-23.632881;-46.6125018;04141-000;-23.608222100000003;-46.6291009
08151-000;-23.5076249;-46.4044739;03364-000;-23.5650198;-46.537616
08161-000;-23.5014931;-46.41515829999999;02452-000;-23.503277999999998;-46.6421547
03052-000;-23.5405964;-46.6101643;05376-000;-23.5773687;-46.7651721
